"Date","Tsurf","Tbot","Ssurf","Sbot"
2019-10-22,24.67482837,24.69588494,21.56490127,21.56532423
2019-10-23,22.58436608,22.62922756,21.08609978,21.08741903
2019-10-24,21.25384148,21.26952815,20.89735166,20.90418196
2019-10-25,22.43408505,22.41273832,21.12048451,21.12231358
2019-10-26,24.35964497,24.35757367,22.34535098,22.34504668
2019-10-27,23.8626647,23.91991123,22.50370264,22.56671429
2019-10-28,22.9857223,23.22381171,21.48300378,21.83263532
2019-10-29,23.49347925,23.51754928,21.71619693,21.74253106
2019-10-30,23.89689986,23.8884124,21.62595137,21.63013403
2019-10-31,23.75369414,23.97465118,14.57068551,17.07450211
2019-11-01,17.52457901,17.52566453,11.14765104,11.41300543
2019-11-02,15.85024818,15.93982446,9.224195063,9.585637331
2019-11-03,15.73853405,15.87001622,7.046102007,7.345914801
2019-11-04,16.20383461,17.41026115,6.3837563,9.97526741
2019-11-05,17.69128092,17.74800841,7.865175347,12.01841033
2019-11-06,18.679509,18.58084297,12.06799555,15.18883892
2019-11-07,20.41503175,20.07309365,5.924603035,13.45733293
2019-11-08,20.11810088,19.61363991,7.291723778,14.79800455
2019-11-09,17.32881935,19.28929687,8.150987407,15.7270637
2019-11-10,17.2766304,19.37686793,7.811169108,14.64720428
2019-11-11,18.42196226,20.39766192,7.816649079,14.57549644
2019-11-12,18.81050734,18.89411664,8.455721895,8.900025229
2019-11-13,12.26816118,12.30023531,8.21361045,8.216909945
2019-11-14,12.69201756,14.42633235,9.79001538,12.05581884
2019-11-15,13.33607233,13.36268874,10.51011185,10.54803034
2019-11-16,12.94986494,13.02568634,9.505771836,10.02644022
2019-11-17,13.52916777,14.34873478,9.374002159,14.26498437
2019-11-18,13.98755022,14.91976917,11.38199921,14.12996713
2019-11-19,14.56184669,15.49380008,11.60200155,15.15499794
2019-11-20,15.80940739,15.58371675,13.04925028,15.92675809
2019-11-21,16.80991296,16.50943021,14.96341427,16.98198946
2019-11-22,18.32963498,18.44412732,11.81185762,13.48273945
2019-11-23,19.93468459,20.05506555,11.34505419,11.81882493
2019-11-24,18.66379412,18.8942465,11.29529576,11.34947964
2019-11-25,17.18402751,18.3988061,11.81416647,14.71679151
2019-11-26,18.0342447,18.08413688,13.23430097,13.35121552
2019-11-27,20.29824853,20.26126202,14.40544593,14.45143199
2019-11-28,19.91525666,19.92694012,14.71574553,16.80626333
2019-11-29,18.8459475,19.58775258,14.55203227,17.92019335
2019-11-30,18.95630415,19.73151986,12.55634836,14.7857664
2019-12-01,17.02894628,17.06830251,8.2912968,8.31273512
2019-12-02,13.77560405,14.51768017,5.582874437,6.060112119
2019-12-03,13.1153996,14.64298562,4.887167146,7.825254977
2019-12-04,15.0600069,16.37299768,8.192985445,12.00924782
2019-12-05,16.78102481,17.0764509,9.666080137,13.29576576
2019-12-06,18.17401775,17.42471298,10.17569774,16.20385512
2019-12-07,17.66402801,17.92695451,11.53868584,17.30731912
2019-12-08,18.45151099,18.98075406,8.445052981,12.72521559
2019-12-09,20.31392415,20.26438387,9.55154558,10.04553362
2019-12-10,16.11887705,16.14620809,10.19664625,10.21530382
2019-12-11,13.95492303,13.98303819,8.099388282,8.167847415
2019-12-12,15.33322823,14.98522659,9.193920612,10.86065316
2019-12-13,16.10354567,15.50769313,10.67626691,12.6113675
2019-12-14,16.69398654,16.33817685,13.09382276,13.91277834
2019-12-15,18.8066171,18.78038645,14.50797478,14.50900729
2019-12-16,19.91126291,19.94803667,13.89274561,13.96529377
